model_id,cluster_beta,spatial,cluster_sigma,offset,cluster_alpha,success,binder_loss,n_clusters,error
1,False,False,False,False,False,True,0.0,1,
2,False,False,False,False,True,True,0.0,1,
3,False,False,False,True,False,True,0.0,1,
4,False,False,False,True,True,True,0.0,1,
5,False,False,True,False,False,True,0.0,1,
6,False,False,True,False,True,True,0.0,1,
7,False,False,True,True,False,True,0.0,1,
8,False,False,True,True,True,True,0.0,1,
9,False,True,False,False,False,True,0.0,1,
10,False,True,False,False,True,True,0.0,1,
11,False,True,False,True,False,True,0.0,1,
12,False,True,False,True,True,True,0.0,1,
13,False,True,True,False,False,True,0.0,1,
14,False,True,True,False,True,True,0.0,1,
15,False,True,True,True,False,True,0.0,1,
16,False,True,True,True,True,True,0.0,1,
17,True,False,False,False,False,True,0.0,1,
18,True,False,False,False,True,True,0.0,1,
19,True,False,False,True,False,True,0.0,1,
20,True,False,False,True,True,True,0.0,1,
21,True,False,True,False,False,True,0.0,1,
22,True,False,True,False,True,True,0.0,1,
23,True,False,True,True,False,True,0.0,1,
24,True,False,True,True,True,True,0.0,1,
25,True,True,False,False,False,True,0.0,1,
26,True,True,False,False,True,True,0.0,1,
27,True,True,False,True,False,True,0.0,1,
28,True,True,False,True,True,True,0.0,1,
29,True,True,True,False,False,True,0.0,1,
30,True,True,True,False,True,True,0.0,1,
31,True,True,True,True,False,True,0.0,1,
32,True,True,True,True,True,True,0.0,1,
